Educacion	Edad	Tvdiario	Organizaciones	Hijos	Suscripcion	proba.pred	clase.pred	prob.pred
12	18	3	0	0	No	0.0928587869290025	No	0.0928587869290025
12	19	2	0	0	No	0.060252261680849	No	0.060252261680849
12	20	4	0	1	Si	0.183151339543247	No	0.183151339543247
13	21	2	1	1	No	0.129399592625024	No	0.129399592625024
12	21	2	6	0	No	0.0733553069516133	No	0.0733553069516133
16	22	1	6	0	Si	0.38126118998227	No	0.38126118998227
15	22	2	0	0	No	0.367974783916528	No	0.367974783916528
12	23	0	0	1	No	0.0301206219050944	No	0.0301206219050944
12	23	1	4	1	No	0.0522178394128248	No	0.0522178394128248
15	23	3	3	0	Si	0.534384216014738	Si	0.534384216014738
12	23	3	3	0	No	0.147772676787675	No	0.147772676787675
16	23	3	3	0	Si	0.683030027802392	Si	0.683030027802392
12	25	3	0	1	No	0.176337343527515	No	0.176337343527515
16	25	3	3	0	Si	0.726819971593401	Si	0.726819971593401
12	25	5	0	0	Si	0.402552752449641	No	0.402552752449641
15	26	1	2	0	Si	0.333467384202324	No	0.333467384202324
15	26	1	7	0	Si	0.333467384202324	No	0.333467384202324
16	27	3	2	0	Si	0.766627262140082	Si	0.766627262140082
15	28	1	3	0	Si	0.381844166632669	No	0.381844166632669
11	28	4	0	4	No	0.217234716976401	No	0.217234716976401
13	29	0	1	0	No	0.0988974039667007	No	0.0988974039667007
10	29	1	0	1	No	0.0285756778494305	No	0.0285756778494305
13	29	4	1	0	Si	0.520865004444551	Si	0.520865004444551
15	30	3	4	1	Si	0.705911750056236	Si	0.705911750056236
12	30	5	0	1	Si	0.533001997921805	Si	0.533001997921805
12	31	2	2	0	No	0.185099080337106	No	0.185099080337106
15	31	2	2	0	No	0.60054997171551	Si	0.60054997171551
16	31	2	2	0	Si	0.738412673104968	Si	0.738412673104968
12	31	3	0	0	No	0.287222092749867	No	0.287222092749867
12	31	4	0	2	Si	0.416865809677326	No	0.416865809677326
15	32	1	1	2	Si	0.484980527182225	No	0.484980527182225
12	32	1	3	0	Si	0.124550257324032	No	0.124550257324032
17	32	1	1	1	Si	0.768499700627335	Si	0.768499700627335
19	32	1	0	2	Si	0.921276172867559	Si	0.921276172867559
12	32	2	0	2	No	0.201528691095737	No	0.201528691095737
15	32	3	0	0	No	0.747708183112149	Si	0.747708183112149
16	32	3	1	2	Si	0.847665048133761	Si	0.847665048133761
16	33	1	3	0	Si	0.662686558537067	Si	0.662686558537067
12	33	2	2	2	No	0.219024656255717	No	0.219024656255717
16	33	2	0	2	Si	0.77704887712744	Si	0.77704887712744
12	33	2	2	1	No	0.219024656255717	No	0.219024656255717
9	34	2	0	4	No	0.0449641346792239	No	0.0449641346792239
16	35	0	0	0	Si	0.577579389021225	Si	0.577579389021225
15	35	1	0	1	Si	0.563684243468854	Si	0.563684243468854
15	35	1	0	4	Si	0.563684243468854	Si	0.563684243468854
17	35	2	0	2	Si	0.889863168139217	Si	0.889863168139217
15	36	0	6	2	Si	0.447265572818097	No	0.447265572818097
15	36	1	3	0	Si	0.58941221900091	Si	0.58941221900091
15	36	4	0	1	Si	0.88907423477217	Si	0.88907423477217
16	37	2	2	0	Si	0.841600180042961	Si	0.841600180042961
13	37	3	0	2	No	0.587468826301792	Si	0.587468826301792
16	38	2	1	0	Si	0.855151554799376	Si	0.855151554799376
16	39	1	0	2	Si	0.787134322471256	Si	0.787134322471256
13	40	1	2	3	No	0.383011139808436	No	0.383011139808436
13	40	2	2	2	Si	0.524099877546982	Si	0.524099877546982
16	40	2	4	3	Si	0.879362468364029	Si	0.879362468364029
15	40	4	1	2	Si	0.924348476949235	Si	0.924348476949235
16	42	1	5	0	Si	0.835340756557361	Si	0.835340756557361
15	43	4	2	2	Si	0.943703283566878	Si	0.943703283566878
12	44	1	4	2	Si	0.335116778206968	No	0.335116778206968
12	44	2	2	4	Si	0.4720613332804	No	0.4720613332804
12	44	2	3	2	Si	0.4720613332804	No	0.4720613332804
10	44	3	0	0	Si	0.310332560451925	No	0.310332560451925
12	46	3	0	2	Si	0.661996938914184	Si	0.661996938914184
15	47	0	0	2	Si	0.720665070772454	Si	0.720665070772454
10	47	3	3	1	Si	0.381699486855288	No	0.381699486855288
12	47	3	0	3	Si	0.685165645794095	Si	0.685165645794095
16	47	3	2	1	Si	0.964343769656665	Si	0.964343769656665
10	47	4	3	2	Si	0.522714397354725	Si	0.522714397354725
11	47	6	2	8	Si	0.866159465497433	Si	0.866159465497433
15	48	2	2	0	Si	0.900221965683122	Si	0.900221965683122
12	48	3	1	1	Si	0.707448060798061	Si	0.707448060798061
12	48	4	1	2	Si	0.81096353466457	Si	0.81096353466457
15	49	0	0	1	Si	0.761074412897323	Si	0.761074412897323
12	49	1	0	5	Si	0.46055903158237	No	0.46055903158237
12	49	3	3	3	Si	0.728777706546638	Si	0.728777706546638
16	49	4	1	1	Si	0.983399801789171	Si	0.983399801789171
15	50	1	2	2	Si	0.862622926014797	Si	0.862622926014797
12	50	3	0	3	Si	0.749103754225996	Si	0.749103754225996
15	51	3	1	7	Si	0.956444154439793	Si	0.956444154439793
13	52	3	2	3	Si	0.873761172379538	Si	0.873761172379538
10	54	1	1	4	Si	0.290902006883556	No	0.290902006883556
12	57	1	0	4	Si	0.664891995362436	Si	0.664891995362436
15	60	2	0	4	Si	0.969663261296454	Si	0.969663261296454
10	63	3	0	3	Si	0.769268810931826	Si	0.769268810931826
13	64	2	0	4	Si	0.932533030238057	Si	0.932533030238057
12	75	4	0	0	Si	0.986643417223186	Si	0.986643417223186
